# t,Ke0,Kd0,Ke1,Ke2,Ke3
0.154,3.17262106648192E+018,-20852766821493.6,1.03696864436234E+032,1.40314210661256E+033,-17741315.5263323
0.156,2.88454788177884E+018,-18959340983152.5,9.42800644634488E+031,1.27691043545137E+033,-16226702.0993867
0.158,2.62216314344285E+018,-17234758230200.5,8.57031348011496E+031,1.16178960685587E+033,-14836927.4428358
0.16,2.38323392400906E+018,-15664342146395.2,7.78930533341463E+031,1.05683190025235E+033,-13562234.4682966
0.162,2.16571420868424E+018,-14234644840757.2,7.07829126520367E+031,9.6116667220295E+032,-12393563.9318728
0.164,1.96773015378806E+018,-12933350055413.3,6.43114375113942E+031,8.73994563031129E+032,-11322512.4632631
0.166,1.78756639112125E+018,-11749183148029.2,5.8422536569401E+031,7.94582076951621E+032,-10341292.5366377
0.168,1.62365331975218E+018,-10671827564222.4,5.30648864695394E+031,7.22256520207408E+032,-9442693.36775324
0.17,1.47455532775961E+018,-9691847422404.21,4.81915463911659E+031,6.56401280997263E+032,-8620043.99561329
0.172,1.33895988781539E+018,-8800615841960.06,4.3759601219536E+031,5.96451434553688E+032,-7867177.55455358
0.174,1.21566747207132E+018,-7990248656714.71,3.97298315484482E+031,5.41889656559583E+032,-7178397.62508044
0.176,1.10358223381961E+018,-7253543168004.45,3.60664087913123E+031,4.92242428124518E+032,-6548445.9283284
0.178,1.0017034054682E+018,-6583921605939.47,3.27366137456489E+031,4.47076515735488E+032,-5972472.02779101
0.18,9.09117364575627E+017,-5975378981685.84,2.97105770295372E+031,4.05995709928146E+032,-5446004.58892663
0.182,8.24990322035497E+017,-5422435028909.64,2.69610398841554E+031,3.68637806855536E+032,-4964924.35210263
0.184,7.48561588797116E+017,-4920089947776.78,2.44631339136844E+031,3.34671817446311E+032,-4525438.42738664
0.186,6.79137379876114E+017,-4463783680446.06,2.21941784108249E+031,3.03795389415524E+032,-4124056.76713866
0.188,6.16085116742401E+017,-4049358462243.28,2.01334939927821E+031,2.75732428008906E+032,-3757569.42165325
0.19,5.58828191434562E+017,-3673024407612.28,1.82622313475584E+031,2.50230902004169E+032,-3423025.75617695
0.192,5.06841158010151E+017,-3331327904857.54,1.65632139637487E+031,2.27060822155363E+032,-3117714.69948901
0.194,4.59645319080113E+017,-3021122607658.45,1.50207937879009E+031,2.06012379932203E+032,-2839146.73259418
0.196,4.16804677273506E+017,-2739542825149.05,1.36207188218226E+031,1.86894235071747E+032,-2585036.58529147
0.198,3.77922223467613E+017,-2483979125490.71,1.23500117378389E+031,1.69531941118084E+032,-2353287.51449887
0.2,3.42636535530722E+017,-2252055980342.2,1.11968586525419E+031,1.53766498769134E+032,-2141976.54267231
0.202,3.10618663147084E+017,-2041611289672.93,1.01505072590684E+031,1.39453027475621E+032,-1949340.78052601
0.204,2.81569276002715E+017,-1850677637575.41,9.20117357447643E+030,1.26459546344168E+032,-1773764.73214461
0.206,2.55216054253179E+017,-1677465140528.76,8.33995661206893E+030,1.14665855978123E+032,-1613768.54355087
0.208,2.31311301715322E+017,-1520345759562.04,7.55876033881283E+030,1.03962513447696E+032,-1467997.05727495
0.21,2.09629763683985E+017,-1377838957371.57,6.85022232541131E+030,9.42498931144143E+031,-1335209.79608621
0.212,1.89966632619837E+017,-1248598590252.82,6.20764854084928E+030,8.54373265391751E+031,-1214271.59306684
0.214,1.7213572622825E+017,-1131400933111.05,5.62495378490498E+030,7.74423151834872E+031,-1104144.03853396
0.216,1.55967823633685E+017,-1025133743598.65,5.09660729093863E+030,7.01898100658004E+031,-1003877.49169598
0.218,1.41309146464259E+017,-928786278702.59,4.61758306756762E+030,6.36115529617741E+031,-912603.767315421
0.22,1.28019972693457E+017,-841440183901.655,4.18331458156303E+030,5.76454741375688E+031,-829529.388411895
0.222,1.15973372041018E+017,-762261181309.148,3.7896534158043E+030,5.22351419823714E+031,-753929.357119823
0.224,1.05054052634294E+017,-690491489093.151,3.43283156528386E+030,4.73292602578839E+031,-685141.424730971
0.226,9.51573094515152E+016,-625442909886.893,3.10942706123814E+030,4.28812090114778E+031,-622560.816807612
0.228,8.6188065846232E+016,-566490530986.77,2.81633263861881E+030,3.88486255071286E+031,-565635.40459049
0.23,7.80600001462148E+016,-513066983731.319,2.55072718533734E+030,3.51930218138526E+031,-513861.22410209
0.232,7.06947499946315E+016,-464657213854.158,2.31004973319506E+030,3.1879435957186E+031,-466778.396465916
0.234,6.40211876955602E+016,-420793718526.323,2.09197577028066E+030,2.88761137864467E+031,-423967.369458456
0.236,5.79747603888853E+016,-381052209512.322,1.89439567293413E+030,2.61542189396037E+031,-385045.466550624
0.238,5.24968894014374E+016,-345047665264.438,1.71539507224981E+030,2.36875684995867E+031,-349663.716174186
0.24,4.75344235872379E+016,-312430737882.619,1.55323698570047E+030,2.14523921329131E+031,-317503.957602825
0.242,4.30391419176736E+016,-282884483773.773,1.40634555874068E+030,1.94271126824769E+031,-288276.17681544
0.244,3.89673009783596E+016,-256121389475.655,1.27329127447474E+030,1.75921463546967E+031,-261716.068092178
0.246,3.52792234034779E+016,-231880666546.048,1.15277750157096E+030,1.59297207957683E+031,-237582.801706063
0.248,3.19389236180894E+016,-209925791671.635,1.04362826175319E+030,1.44237094947376E+031,-215656.982613649
0.25,2.89137675712236E+016,-190042270186.061,9.44777108404792E+029,1.30594810823862E+031,-195738.774135356
0.252,2.61741634291402E+016,-172035603082.025,8.55257017221073E+029,1.18237622162923E+031,-177646.190647659
0.254,2.36932804621573E+016,-155729439331.704,7.74191198436434E+029,1.07045128536453E+031,-161213.526944619
0.256,2.14467935984715E+016,-140963896909.106,7.00784748040722E+029,9.69081281584211E+030,-146289.93236199
0.258,1.94126513401337E+016,-127594037365.29,6.34317062621382E+029,8.77275864293278E+030,-132738.095079832
0.26,1.75708649380568E+016,-115488480133.708,5.74134949083028E+029,7.94136982237308E+030,-120433.052242884
0.262,1.59033169080144E+016,-104528143958.486,5.19646366548969E+029,7.18850355576583E+030,-109261.091195636
0.264,1.43935871394894E+016,-94605103955.4593,4.70314743281643E+029,6.50677729987417E+030,-99118.7574634499
0.266,1.30267950035915E+016,-85621553830.9586,4.25653816533523E+029,5.88949838493888E+030,-89911.9380862915
0.268,1.17894560076841E+016,-77488863712.0378,3.8522294784956E+029,5.33060007408008E+030,-81555.0324615228
0.27,1.06693516744176E+016,-70126724896.8882,3.48622870593444E+029,4.82458348373238E+030,-73970.1931320019
0.272,9.65541143995116E+015,-63462373604.5361,3.15491830307323E+029,4.36646483584471E+030,-67086.6306797673
0.274,8737605474997052,-57429886516.617,2.8550208206094E+029,3.95172755960554E+030,-60839.9854765276
0.276,7906847429842783,-51969541547.5017,2.58356712151272E+029,3.57627880304112E+030,-55171.7481745723
0.278,7154906195177677,-47027237872.131,2.33786754453536E+029,3.23640995395574E+030,-50028.7347867867
0.28,6474325851675352,-42553969776.4257,2.1154857440296E+029,2.92876080539317E+030,-45362.6091610047
0.282,5858353056333000,-38505349388.2149,1.91421496026666E+029,2.65028703338313E+030,-41129.4443227579
0.284,5300871181960289,-34841173793.5071,1.73205649670531E+029,2.39823068449346E+030,-37289.3261531738
