# t,Ke0,Kd0,Ke1,Ke2,Ke3
0.28,-77435332153017.4,508959968.587714,-2.53826240782815E+027,-2.68079391185734E+028,0
0.282,-67025294208110,440537811.324805,-2.19701980651008E+027,-2.32149097577622E+028,0
0.284,-58012141292566.1,381296973.61872,-1.90156886578474E+027,-2.01024214906385E+028,0
0.286,-50208809413108.4,330007938.207547,-1.645777162409E+027,-1.74063562066054E+028,0
0.288,-43453229753714.6,285605473.860055,-1.42433171081392E+027,-1.50711288576546E+028,0
0.29,-37604997011985.2,247166737.321601,-1.23262973346941E+027,-1.30485551121126E+028,0
0.292,-32542480621047,213892286.214718,-1.06668395211805E+027,-1.12968687897696E+028,0
0.294,-28160320160728.6,185089617.106865,-9.23040475298875E+026,-9.77986933763928E+027,0
0.296,-24367254013720.5,160158893.89797,-7.98707611771782E+026,-8.46618219640162E+027,0
0.298,-21084237055682.3,138580575.945492,-6.91094160248706E+026,-7.32861716045705E+027,0
0.3,-18242809014806.4,119904693.76655,-5.97955917547321E+026,-6.34361179271849E+027,0
0.302,-15783680212574.5,103741553.522788,-5.17349313704796E+026,-5.4907486569295E+027,0
0.304,-13655505803969.3,89753680.4577567,-4.47591227116304E+026,-4.75233660960852E+027,0
0.306,-11813823460454.9,77648836.5963918,-3.87224158170733E+026,-4.11304767861805E+027,0
0.308,-10220132761202,67173969.8508644,-3.34986048753914E+026,-3.55960217219356E+027,0
0.31,-8841097438037.05,58109970.6085557,-2.89784129470681E+026,-3.08049563218734E+027,0
0.312,-7647854121991.76,50267128.3240524,-2.50672258452836E+026,-2.66576208802838E+027,0
0.314,-6615413409264.12,43481194.8998179,-2.16831286777475E+026,-2.306768799749E+027,0
0.316,-5722140947703.18,37609974.0185967,-1.87552047270367E+026,-1.99603831410976E+027,0
0.318,-4949307878929.15,32530366.3297927,-1.62220617038883E+026,-1.72709420980616E+027,0
0.32,-4280701388563.37,28135809.7095379,-1.40305550559023E+026,-1.49432738707069E+027,0
0.322,-3702287347059.97,24334061.8967577,-1.21346820456102E+026,-1.29288017309002E+027,0
0.324,-3201918089916.61,21045279.8174515,-1.04946238092864E+026,-1.1185458759436E+027,0
0.326,-2769079311518.08,18200355.9914134,-9.07591564090458E+025,-9.67681733344825E+026,0
0.328,-2394670849025.93,15739477.6884298,-7.84872837658157E+025,-8.37133474690967E+026,0
0.33,-2070816828784.57,13610879.0757424,-6.78724603602539E+025,-7.24169951150704E+026,0
0.332,-1790701250814.18,11769760.5626331,-5.86912685578826E+025,-6.26426493537917E+026,0
0.334,-1548425610505.8,10177352.9892236,-5.07503656461593E+025,-5.41855835640302E+026,0
0.336,-1338885609996.86,8800107.28608185,-4.38824423820187E+025,-4.68685595014646E+026,0
0.338,-1157664405156.91,7608992.81770205,-3.79427236020168E+025,-4.0538143720558E+026,0
0.34,-1000940174972.17,6578889.86287852,-3.28059383405318E+025,-3.50615165524576E+026,0
0.342,-865406095684.85,5688063.62797617,-2.83636965906762E+025,-3.032370793143E+026,0
0.344,-748201058281.133,4917708.87303386,-2.45222182420482E+025,-2.62252031057186E+026,0
0.346,-646849689840.145,4251555.68956469,-2.12003670075327E+025,-2.26798688500947E+026,0
0.348,-559210431833.064,3675528.23424576,-1.8327948461024E+025,-1.9613157374449E+026,0
0.35,-483430595121.468,3177449.3184644,-1.58442367751589E+025,-1.69605508255391E+026,0
0.352,-417907456000.295,2746784.70392077,-1.36966994856169E+025,-1.46662142238543E+026,0
0.354,-361254582815.773,2374421.77724009,-1.18398937142932E+025,-1.26818289658264E+026,0
0.356,-312272691211.883,2052477.98996264,-1.02345108406284E+025,-1.09655827390916E+026,0
0.358,-269924420077.573,1774135.06816471,-8.8465496923399E+024,-9.48129492156563E+025,0
0.36,-233312501697.152,1533495.53119757,-7.64660099696165E+024,-8.19765932923411E+025,0
0.362,-201660870190.438,1325458.52293097,-6.60922814855502E+024,-7.08758859938814E+025,0
0.364,-174298313434.53,1145612.36059034,-5.71243134794516E+024,-6.12764659560384E+025,0
0.366,-150644326609.472,990141.554202703,-4.93718391024548E+024,-5.29755704004267E+025,0
0.368,-130196871381.186,855746.351264456,-4.26703103704011E+024,-4.57977815580972E+025,0
0.37,-112521784441.963,739573.12214683,-3.68774265255208E+024,-3.95913446856889E+025,0
0.372,-97243613539.9313,639154.127971745,-3.18701303090625E+024,-3.42249810091526E+025,0
0.374,-84037688917.7688,552355.408483447,-2.75420091821579E+024,-2.95851291915468E+025,0
0.376,-72623263880.3366,477331.696982735,-2.38010469892795E+024,-2.55735578121832E+025,0
0.378,-62757580554.8278,412487.416290904,-2.05676788825833E+024,-2.21052990481297E+025,0
0.38,-54230736247.813,356442.936804704,-1.77731086666151E+024,-1.91068604226296E+025,0
0.382,-46861242559.6352,308005.387839028,-1.53578532136496E+024,-1.65146772666209E+025,0
0.384,-40492183913.1869,266143.408752534,-1.3270483353671E+024,-1.42737735476627E+025,0
0.386,-34987894712.5676,229965.308873445,-1.14665347589267E+024,-1.23366030589608E+025,0
0.388,-30231085217.8505,198700.17670831,-9.90756590590119E+023,-1.06620467185595E+025,0
0.39,-26120355629.4977,171681.54073797,-8.56034328216261E+023,-9.21454498334083E+024,0
0.392,-22568046023.0948,148333.237662856,-7.39613667550135E+023,-7.96334720092973E+024,0
0.394,-19498376826.3892,128157.190296849,-6.39010969412947E+023,-6.88186216368733E+024,0
0.396,-16845840631.9133,110722.837417714,-5.5207926670562E+023,-5.94709624258754E+024,0
0.398,-14553811422.6939,95657.9926105701,-4.76962680534664E+023,-5.13916730928369E+024,0
