# t,Ke0,Kd0,Ke1,Ke2,Ke3
0.204,-3.67274552972804E+016,241400472831.759,-1.17885792545561E+030,-3.8275290948625E+031,0
0.206,-3.23929158336512E+016,212910618405.045,-1.03968940350557E+030,-3.3799764638944E+031,0
0.208,-2.85678490666219E+016,187769401763.449,-9.16883898645027E+029,-2.98447273926045E+031,0
0.21,-2.51926515638587E+016,165585064325.914,-8.08526367053969E+029,-2.63500296228754E+031,0
0.212,-2.22146554450938E+016,146011433175.721,-7.12924700124529E+029,-2.32624211982813E+031,0
0.214,-1.95873264150557E+016,128742649925.129,-6.28583932983825E+029,-2.05347670729964E+031,0
0.216,-1.7269553837962E+016,113508504558.149,-5.541834149563E+029,-1.81253511247783E+031,0
0.218,-1.52250223886467E+016,100070305443.403,-4.88556604804885E+029,-1.59972584140456E+031,0
0.22,-1.34216559849649E+016,88217224442.976,-4.30673191566475E+029,-1.41178271451824E+031,0
0.222,-1.18311257577581E+016,77763062920.9317,-3.79623275533653E+029,-1.24581625642887E+031,0
0.224,-1.0428414744782E+016,68543390583.767,-3.34603373929573E+029,-1.09927058791218E+031,0
0.226,-9.1914328214686E+015,60413014515.9817,-2.94904042466672E+029,-9.69885204695447E+030,0
0.228,-8100676115635872,53243740598.0292,-2.59898927642941E+029,-8.556610954118E+030,0
0.23,-7138925806749171,46922393788.4853,-2.29035085651046E+029,-7.54830711599963E+030,0
0.232,-6290981788977098,41349067556.8212,-2.01824422427659E+029,-6.65831356538699E+030,0
0.234,-5543427191970440,36435576137.6922,-1.77836125934413E+029,-5.87281607779136E+030,0
0.236,-4884420208986552,32104086268.1375,-1.56689976455741E+029,-5.17960431056553E+030,0
0.238,-4303510087708995,28285907741.2799,-1.38050433737263E+029,-4.5678868140583E+030,0
0.24,-3791474497935447,24920424464.7416,-1.21621411351578E+029,-4.02812721258184E+030,0
0.242,-3.34017580907478E+015,21954149807.367,-1.07141658936155E+029,-3.55189915530296E+030,0
0.244,-2.9424340925379E+015,19339891876.3454,-9.43806820388264E+028,-3.13175790603377E+030,0
0.246,-2.59191491533096E+015,17036016011.8628,-8.31351373689906E+028,-2.76112668020232E+030,0
0.248,-2283030212303127,15005793245.0332,-7.32256483962353E+028,-2.43419605000817E+030,0
0.25,-2.01085072189915E+015,13216824759.8193,-6.44939925693061E+028,-2.14583492792476E+030,0
0.252,-1.77102864443315E+015,11640533545.0877,-5.68006170377579E+028,-1.89151180683238E+030,0
0.254,-1.55972933608774E+015,10251715436.0948,-5.00224447272479E+028,-1.66722508444401E+030,0
0.256,-1.37357098908668E+015,9028142647.28455,-4.40509370203241E+028,-1.46944143239003E+030,0
0.258,-1209571369401044,7950213692.33666,-3.87903831924645E+028,-1.29504128821699E+030,0
